plaintext	voltage
844630d509e91bc57191f38849a0dde4d3dae9ce100ae4913a24ed47923477ee	2.514
0a44eafd5a9cf75a84f71be8591e6fe1e02c4851e0be4a959e6534a128588362	2.5134
56633f635363c2727a5796826edd4c7656308d46e63d1db10c889b011634bb37	2.5145
013d2dffe250c5b42c0dc159dfc28a665e8fa8d07c391eecfb4c5a3b6217b942	2.5123
39b380671ed3a7f9d986747011326d994bbfb92c97037874b393c0c845497d0f	2.5133
b8bbd745f3e7d24df99414dc9926d580f551867549025fc7a50c9021919a0c56	2.5139
acbdfcf157472d6bbc22363575bfc7491e32a07952d928abea42d16d0b4d81ec	2.513
97bd6415cd0fe346e87ad7dd04bc7128e46cfd28db99a5d1fc91075ef9f71d32	2.5141
c111bdea18adfc860817b064f8927c6a21ab94c6dc9e56dd06c7944aeb1f1fe1	2.5126
039a3a37f4cb50b9ca634935119398324b8c81488ea291dc465cc2b9cab00b88	2.5125
d530f239d4bb1536b383f3e464bc44f653636b48757d5b13677ddf6c43f81fed	2.5131
e4273aba4cd96168f1f1203876be818c2c54fb04ec456143f1caa2aaf7a10ea8	2.5133
b0922093592216ec9af7bd3fc40636de918f8f409378a51e03ed3484e0073996	2.5126
1e3aa7a5f09fe2ea7f055324cbd9cd5ed1799908414a17fe31e9c984658131b8	2.5119
1e1d10cd501f80ed22a7617da4548d07fef806475fc49e0c23960fd66d28bf3c	2.5123
813f4ba8f2620ac9314957b33424514862f77e3eb6f9b76f94eff66a9b485889	2.5117
71bc1de9e8287099a56e5165b4d372dbfda6a00178f8c9aa7f43893e4a9fb100	2.5122
2bbc1344644aa2688036d633f87d67f2aebea0bfd850a3496fa8e9d8f9820af4	2.5132
b43462da7fd24ed4d506780a6b9a29af91d151507185a9d4bb7665072292b8c1	2.5135
0c74dee3c1c77d634c21c1a520fc3e5b2973ce1be7a5b9a89997c950367df13a	2.5125
fbbf635f267774bc252d17e557f056a89bce9e624d99911bc58b284b0656b832	2.5132
8700f67f69997fc76184194ccb35808606f1872de3a3fbc3a5501f3be0b770c4	2.5124
d546188e906c94d01f8108827109bba0b112b8e806a9ec9023f05f534338dcfb	2.5124
1d1706e9d00b7e3761f89de353b1643185f025143a048c88b9c8c7bf2d97cb33	2.5127
0579712d5cc1ee8c21db6376723891ea09755fe68cf4f82d6191bbc35df2da31	2.5133
57d06165d7357d2f7f3d59ba6661b416ff484dc0cae142cb6f4edfaebe2b5bcb	2.5123
247ed40024238fe6b7e0a5d846c6001862c3879bedfdf99e7e19f1a61e401663	2.5133
1f766c80b8d2a0cee303fdc410f0c587f7831db3111ec1c7808a489c46fafecf	2.5128
7876424d4bb57ab127c0caaee21e8ec86237d69dc7e58d18327c364c0155f6d7	2.5133
47baf0c26002800281f18afde4a499f1f8476f7f3ab5ba4eadbfe32a2599c666	2.5132
8e7e324c219c6cd2f5b4076dd34e54eb748adb522be7a813f156918bbd7373ee	2.5134
53d70f7832ca397507228d3fa39133703705b4309a862771d518e6aac6b9234c	2.5134
d9e226e0deb028963b4aad016b00fec1aae53532536dfc12336c338d6a487440	2.5127
215e0db813467d1f6907ceeed48568bc0f65fddfcba7a5bc507def5317bb4ad8	2.5128
901a4f9657f63252808aba7e5e6f6e32f485daae2d13e7c0ae16c591b9b3b329	2.5128
c617ca8a27a02d791b8deea912c8f3f1cb253fa75268e57487932ae743eabace	2.5131
e704a8681eed545ad02abe38b7adbf98a1e927883ada6551e9eafd4355129270	2.5125
35f0ea919c17fa8f36234fe7e774df0d713bb69aab6d464897f7c41315d021ef	2.5137
f1cb81b78d56b7e9f03b885d466467786079f0e3ea42998d58c95db616358c7e	2.5129
37d14950b6990a3a378afbd4287bda844626cc4702f30f1e304012e4d01b58e5	2.5136
1e6fe70a417413fa6ac31c1d6c9caed885c2dbe8cf1b707003fb4014900d201d	2.5136
26b48c3c1126f0f839ea284547c0a9a3486e69e31bd0fd5766513fc832b042c6	2.5129
d5608e7ee62742e87127dc3ea581a14f84238ec11d0e525ca7a1a8469620ae56	2.5125
fd47db57402ed102a44cf5c159b698d19edba7861400b33abd64715a5308d75a	2.5128
3b56f91427f7f48a2d1e425154630458ef76871e1afd069063215be6cff67676	2.512
101a2b3722f44e292aead55cda9f787596fd56b6a25eaad98acbf7ea26566bce	2.5129
5456a9ab02988189108d39202280c5231ae41802f5ee58de84f1446a52faf3e8	2.5118
7ca4d83062c23aa82a85dc1cb3add73926e98fa863de1ff9c1b6fc362260fdbd	2.5121
5a182df9b7c13a30ae41b3d69c01f3677727a6aed4de71fbcac7be8a7511a7c8	2.5131
22154a27cecf6df7baf8e067345c07bd96d346e58644f31624bd8f92c4c1cf65	2.513
plaintext	voltage
85884106b193ef5189faf4457e88332c9c4f6ff0c545806e1798063ab380af7c	2.5126
eaa34d3be07ce746abeb8ec281cf16962c55a530d2b768f5501fb06cf3d62193	2.512
f91ba62d01f082c03e30c91e29a533e1c51b66fc9441dd7e3565fea4638fb9b9	2.5128
b2d506c631eef3c2ebbcdbb4cd28abd71f25b86a8b9911e0b98b51d49971b4c5	2.5134
